"timestamp (abs)","timestamp (rel)","sample rate (Hz)","Channel-7","Channel-6","Channel-5","Channel-4","Channel-3","Channel-2","Channel-1","Channel-0"
0,-2455,200000000,0,0,0,0,0,0,0,0
2441,-14,200000000,0,0,0,0,0,1,0,0
2442,-13,200000000,0,0,0,0,0,1,1,0
2443,-12,200000000,0,0,0,0,0,1,0,0
2455,0,200000000,0,0,0,0,0,0,0,0
2470,15,200000000,0,0,0,0,0,1,0,0
2471,16,200000000,0,0,0,0,0,1,1,0
2472,17,200000000,0,0,0,0,0,1,0,0
2473,18,200000000,0,0,0,0,0,0,0,0
2474,19,200000000,0,0,0,0,0,1,0,0
2475,20,200000000,0,0,0,0,0,1,1,0
2477,22,200000000,0,0,0,0,0,1,0,0
2484,29,200000000,0,0,0,0,0,0,0,0
2498,43,200000000,0,0,0,0,0,1,0,0
2500,45,200000000,0,0,0,0,0,1,1,0
2501,46,200000000,0,0,0,0,0,1,0,0
2502,47,200000000,0,0,0,0,0,0,0,0
2503,48,200000000,0,0,0,0,0,1,0,0
2504,49,200000000,0,0,0,0,0,1,1,0
2505,50,200000000,0,0,0,0,0,1,0,0
2513,58,200000000,0,0,0,0,0,0,0,0
2527,72,200000000,0,0,0,0,0,1,0,0
2528,73,200000000,0,0,0,0,0,1,1,0
2530,75,200000000,0,0,0,0,0,1,0,0
2533,78,200000000,0,0,0,0,0,1,1,0
2534,79,200000000,0,0,0,0,0,1,0,0
2538,83,200000000,0,0,0,0,0,1,1,0
2539,84,200000000,0,0,0,0,0,1,0,0
2542,87,200000000,0,0,0,0,0,0,0,0
2556,101,200000000,0,0,0,0,0,1,0,0
2557,102,200000000,0,0,0,0,0,1,1,0
2559,104,200000000,0,0,0,0,0,1,0,0
2562,107,200000000,0,0,0,0,0,1,1,0
2563,108,200000000,0,0,0,0,0,1,0,0
2566,111,200000000,0,0,0,0,0,1,1,0
2567,112,200000000,0,0,0,0,0,1,0,0
2571,116,200000000,0,0,0,0,0,0,0,0
2585,130,200000000,0,0,0,0,0,1,0,0
2586,131,200000000,0,0,0,0,0,1,1,0
2588,133,200000000,0,0,0,0,0,1,0,0
2590,135,200000000,0,0,0,0,0,1,1,0
2592,137,200000000,0,0,0,0,0,1,0,0
2595,140,200000000,0,0,0,0,0,1,1,0
2596,141,200000000,0,0,0,0,0,1,0,0
2599,144,200000000,0,0,0,0,0,0,0,0
2614,159,200000000,0,0,0,0,0,1,0,0
2615,160,200000000,0,0,0,0,0,1,1,0
2616,161,200000000,0,0,0,0,0,1,0,0
2617,162,200000000,0,0,0,0,0,0,0,0
2618,163,200000000,0,0,0,0,0,1,0,0
2619,164,200000000,0,0,0,0,0,1,1,0
2621,166,200000000,0,0,0,0,0,1,0,0
2624,169,200000000,0,0,0,0,0,1,1,0
2625,170,200000000,0,0,0,0,0,1,0,0
2628,173,200000000,0,0,0,0,0,0,0,0
2643,188,200000000,0,0,0,0,0,1,1,0
2645,190,200000000,0,0,0,0,0,1,0,0
2646,191,200000000,0,0,0,0,0,0,0,0
2647,192,200000000,0,0,0,0,0,1,0,0
2648,193,200000000,0,0,0,0,0,1,1,0
2650,195,200000000,0,0,0,0,0,1,0,0
2652,197,200000000,0,0,0,0,0,1,1,0
2654,199,200000000,0,0,0,0,0,1,0,0
2657,202,200000000,0,0,0,0,0,0,0,0
2671,216,200000000,0,0,0,0,0,1,0,0
2672,217,200000000,0,0,0,0,0,1,1,0
2674,219,200000000,0,0,0,0,0,1,0,0
2677,222,200000000,0,0,0,0,0,1,1,0
2678,223,200000000,0,0,0,0,0,1,0,0
2681,226,200000000,0,0,0,0,0,1,1,0
2683,228,200000000,0,0,0,0,0,1,0,0
2686,231,200000000,0,0,0,0,0,0,0,0
2700,245,200000000,0,0,0,0,0,1,0,0
2701,246,200000000,0,0,0,0,0,1,1,0
2703,248,200000000,0,0,0,0,0,1,0,0
2705,250,200000000,0,0,0,0,0,1,1,0
2707,252,200000000,0,0,0,0,0,1,0,0
2710,255,200000000,0,0,0,0,0,1,1,0
2711,256,200000000,0,0,0,0,0,1,0,0
2714,259,200000000,0,0,0,0,0,1,1,0
2715,260,200000000,0,0,0,0,0,0,0,0
2729,274,200000000,0,0,0,0,0,1,0,0
2730,275,200000000,0,0,0,0,0,1,1,0
2732,277,200000000,0,0,0,0,0,1,0,0
2734,279,200000000,0,0,0,0,0,1,1,0
2736,281,200000000,0,0,0,0,0,1,0,0
2739,284,200000000,0,0,0,0,0,1,1,0
2740,285,200000000,0,0,0,0,0,1,0,0
2743,288,200000000,0,0,0,0,0,0,0,0
2758,303,200000000,0,0,0,0,0,1,0,0
2759,304,200000000,0,0,0,0,0,1,1,0
2760,305,200000000,0,0,0,0,0,1,0,0
2761,306,200000000,0,0,0,0,0,0,0,0
2762,307,200000000,0,0,0,0,0,1,0,0
2763,308,200000000,0,0,0,0,0,1,1,0
2765,310,200000000,0,0,0,0,0,1,0,0
2767,312,200000000,0,0,0,0,0,1,1,0
2769,314,200000000,0,0,0,0,0,1,0,0
2772,317,200000000,0,0,0,0,0,0,0,0
2786,331,200000000,0,0,0,0,0,1,0,0
2787,332,200000000,0,0,0,0,0,1,1,0
2789,334,200000000,0,0,0,0,0,1,0,0
2790,335,200000000,0,0,0,0,0,0,0,0
2791,336,200000000,0,0,0,0,0,1,0,0
2792,337,200000000,0,0,0,0,0,1,1,0
2794,339,200000000,0,0,0,0,0,1,0,0
2796,341,200000000,0,0,0,0,0,1,1,0
2798,343,200000000,0,0,0,0,0,1,0,0
2800,345,200000000,0,0,0,0,0,1,1,0
2801,346,200000000,0,0,0,0,0,0,0,0
2815,360,200000000,0,0,0,0,0,1,0,0
2816,361,200000000,0,0,0,0,0,1,1,0
2818,363,200000000,0,0,0,0,0,1,0,0
2821,366,200000000,0,0,0,0,0,1,1,0
2822,367,200000000,0,0,0,0,0,1,0,0
2825,370,200000000,0,0,0,0,0,1,1,0
2827,372,200000000,0,0,0,0,0,1,0,0
2829,374,200000000,0,0,0,0,0,1,1,0
2830,375,200000000,0,0,0,0,0,0,0,0
2844,389,200000000,0,0,0,0,0,1,0,0
2845,390,200000000,0,0,0,0,0,1,1,0
2847,392,200000000,0,0,0,0,0,1,0,0
2849,394,200000000,0,0,0,0,0,1,1,0
2851,396,200000000,0,0,0,0,0,1,0,0
2854,399,200000000,0,0,0,0,0,1,1,0
2856,401,200000000,0,0,0,0,0,1,0,0
2858,403,200000000,0,0,0,0,0,1,1,0
2859,404,200000000,0,0,0,0,0,0,0,0
2873,418,200000000,0,0,0,0,0,1,0,0
2874,419,200000000,0,0,0,0,0,1,1,0
2876,421,200000000,0,0,0,0,0,1,0,0
2878,423,200000000,0,0,0,0,0,1,1,0
2880,425,200000000,0,0,0,0,0,1,0,0
2883,428,200000000,0,0,0,0,0,1,1,0
2884,429,200000000,0,0,0,0,0,1,0,0
2887,432,200000000,0,0,0,0,0,0,1,0
2888,433,200000000,0,0,0,0,0,0,0,0
2902,447,200000000,0,0,0,0,0,1,0,0
2903,448,200000000,0,0,0,0,0,1,1,0
2904,449,200000000,0,0,0,0,0,1,0,0
2905,450,200000000,0,0,0,0,0,0,0,0
2906,451,200000000,0,0,0,0,0,1,0,0
2907,452,200000000,0,0,0,0,0,1,1,0
2909,454,200000000,0,0,0,0,0,1,0,0
2911,456,200000000,0,0,0,0,0,1,1,0
2913,458,200000000,0,0,0,0,0,1,0,0
2915,460,200000000,0,0,0,0,0,1,1,0
2916,461,200000000,0,0,0,0,0,0,1,0
2917,462,200000000,0,0,0,0,0,0,0,0
2930,475,200000000,0,0,0,0,0,1,0,0
2931,476,200000000,0,0,0,0,0,1,1,0
2933,478,200000000,0,0,0,0,0,1,0,0
2934,479,200000000,0,0,0,0,0,0,0,0
2935,480,200000000,0,0,0,0,0,1,0,0
2936,481,200000000,0,0,0,0,0,1,1,0
2938,483,200000000,0,0,0,0,0,1,0,0
2940,485,200000000,0,0,0,0,0,1,1,0
2942,487,200000000,0,0,0,0,0,1,0,0
2944,489,200000000,0,0,0,0,0,1,1,0
2945,490,200000000,0,0,0,0,0,0,1,0
2946,491,200000000,0,0,0,0,0,0,0,0
2959,504,200000000,0,0,0,0,0,1,0,0
2960,505,200000000,0,0,0,0,0,1,1,0
2962,507,200000000,0,0,0,0,0,1,0,0
2965,510,200000000,0,0,0,0,0,1,1,0
2966,511,200000000,0,0,0,0,0,1,0,0
2969,514,200000000,0,0,0,0,0,1,1,0
2971,516,200000000,0,0,0,0,0,1,0,0
2973,518,200000000,0,0,0,0,0,1,1,0
2974,519,200000000,0,0,0,0,0,0,0,0
2988,533,200000000,0,0,0,0,0,1,0,0
2989,534,200000000,0,0,0,0,0,1,1,0
2991,536,200000000,0,0,0,0,0,1,0,0
2993,538,200000000,0,0,0,0,0,1,1,0
2995,540,200000000,0,0,0,0,0,1,0,0
2998,543,200000000,0,0,0,0,0,1,1,0
3000,545,200000000,0,0,0,0,0,1,0,0
3002,547,200000000,0,0,0,0,0,1,1,0
3003,548,200000000,0,0,0,0,0,0,0,0
3017,562,200000000,0,0,0,0,0,1,0,0
3018,563,200000000,0,0,0,0,0,1,1,0
3020,565,200000000,0,0,0,0,0,1,0,0
3022,567,200000000,0,0,0,0,0,1,1,0
3024,569,200000000,0,0,0,0,0,1,0,0
3026,571,200000000,0,0,0,0,0,1,1,0
3028,573,200000000,0,0,0,0,0,1,0,0
3030,575,200000000,0,0,0,0,0,1,1,0
3031,576,200000000,0,0,0,0,0,0,1,0
3032,577,200000000,0,0,0,0,0,0,0,0
3046,591,200000000,0,0,0,0,0,1,0,0
3047,592,200000000,0,0,0,0,0,1,1,0
3048,593,200000000,0,0,0,0,0,1,0,0
3049,594,200000000,0,0,0,0,0,0,0,0
3050,595,200000000,0,0,0,0,0,1,0,0
3051,596,200000000,0,0,0,0,0,1,1,0
3053,598,200000000,0,0,0,0,0,1,0,0
3055,600,200000000,0,0,0,0,0,1,1,0
3057,602,200000000,0,0,0,0,0,1,0,0
3059,604,200000000,0,0,0,0,0,1,1,0
3060,605,200000000,0,0,0,0,0,0,1,0
3061,606,200000000,0,0,0,0,0,0,0,0
3074,619,200000000,0,0,0,0,0,1,0,0
3075,620,200000000,0,0,0,0,0,1,1,0
3077,622,200000000,0,0,0,0,0,1,0,0
3078,623,200000000,0,0,0,0,0,0,0,0
3079,624,200000000,0,0,0,0,0,1,0,0
3080,625,200000000,0,0,0,0,0,1,1,0
3082,627,200000000,0,0,0,0,0,1,0,0
3084,629,200000000,0,0,0,0,0,1,1,0
3086,631,200000000,0,0,0,0,0,1,0,0
3088,633,200000000,0,0,0,0,0,1,1,0
3089,634,200000000,0,0,0,0,0,0,0,0
3103,648,200000000,0,0,0,0,0,1,0,0
3104,649,200000000,0,0,0,0,0,1,1,0
3106,651,200000000,0,0,0,0,0,1,0,0
3109,654,200000000,0,0,0,0,0,1,1,0
3110,655,200000000,0,0,0,0,0,1,0,0
3113,658,200000000,0,0,0,0,0,1,1,0
3115,660,200000000,0,0,0,0,0,1,0,0
3117,662,200000000,0,0,0,0,0,1,1,0
3118,663,200000000,0,0,0,0,0,0,0,0
3132,677,200000000,0,0,0,0,0,1,0,0
3133,678,200000000,0,0,0,0,0,1,1,0
3135,680,200000000,0,0,0,0,0,1,0,0
3138,683,200000000,0,0,0,0,0,1,1,0
3139,684,200000000,0,0,0,0,0,1,0,0
